Ticker,participating_securities_distributed_and_undistributed_earnings_loss_basic,net_income_loss_attributable_to_parent,operating_income_loss,costs_and_expenses,income_tax_expense_benefit,income_loss_from_continuing_operations_after_tax,income_loss_from_continuing_operations_before_tax,basic_earnings_per_share,preferred_stock_dividends_and_other_adjustments,net_income_loss_available_to_common_stockholders_basic,basic_average_shares,diluted_earnings_per_share,depreciation_and_amortization,benefits_costs_expenses,revenues,net_income_loss_attributable_to_noncontrolling_interest,net_income_loss,diluted_average_shares,operating_expenses,other_operating_expenses,equity_attributable_to_noncontrolling_interest,current_assets,liabilities_and_equity,current_liabilities,equity_attributable_to_parent,equity,fixed_assets,assets,liabilities,noncurrent_liabilities,noncurrent_assets,net_cash_flow_from_operating_activities,net_cash_flow_from_investing_activities,net_cash_flow_from_financing_activities_continuing,exchange_gains_losses,net_cash_flow_from_investing_activities_continuing,net_cash_flow_continuing,net_cash_flow_from_operating_activities_continuing,net_cash_flow,net_cash_flow_from_financing_activities,other_comprehensive_income_loss,other_comprehensive_income_loss_attributable_to_parent,comprehensive_income_loss_attributable_to_noncontrolling_interest,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,other_current_assets,long_term_investments,inventory,intangible_assets,other_noncurrent_assets,selling_general_and_administrative_expenses,income_tax_expense_benefit_deferred,income_loss_from_equity_method_investments,income_loss_before_equity_method_investments,other_current_liabilities,temporary_equity,prepaid_expenses,accounts_payable,temporary_equity_attributable_to_parent,other_comprehensive_income_loss_attributable_to_noncontrolling_interest,interest_expense_operating,gross_profit,cost_of_revenue,other_noncurrent_liabilities,long_term_debt,redeemable_noncontrolling_interest,redeemable_noncontrolling_interest_common,undistributed_earnings_loss_allocated_to_participating_securities_basic,accounts_receivable,common_stock_dividends,income_tax_expense_benefit_current,wages,interest_income_expense_after_provision_for_losses,interest_income_expense_operating_net,provision_for_loan_lease_and_other_losses,nonoperating_income_loss,noninterest_expense,income_loss_from_discontinued_operations_net_of_tax,interest_and_dividend_income_operating,research_and_development,cost_of_revenue_goods,interest_and_debt_expense,stockPrice,totalShares,grossMargin,netProfitMargin,peRatio,priceToBookRatio,debtToEquity,marketCap,currentRatio,cashAndCashEquivalents,ROA,returnOnEquity,ROIC,researchAndDevelopment,incomeTaxExpenses,beta,quickRatio,enterpriseValue,enterpriseToRevenue,sector,industry,volume,quoteType,priceVolume,earningsYield,grossMarginCheck1,grossMarginCheck2,netProfitMarginCheck1,netProfitMarginCheck2,peTimesPriceToBookRatioCheck,marketCapCheck,currentRatioCheck,ROACheck,returnOnEquityCheck,ROICCheck,researchAndDevelopmentCheck,incomeTaxExpensesCheck,betaCheck,priceVolumeCheck,earningsYieldCheck,totalPasses
AMR,0,187579000,227854000,2729431000,23171000,187579000,210750000,14.41,0,187579000,13013469,14.28,N/A,2746535000,2957285000,0,187579000,13134806,2729431000,2655431000,0,1036669000,2438708000,251109000,1649497000,1649497000,N/A,2438708000,789211000,538102000,1402039000,579919000,-230986000,-128897000,N/A,-230986000,220036000,579919000,220036000,-128897000,178084000,-9495000,0,178084000,178084000,867400000,N/A,169269000,39879000,1362160000,74000000,5563000,-20302000,231052000,105834000,N/A,N/A,96633000,N/A,N/A,N/A,N/A,N/A,536316000,1786000,N/A,N/A,N/A,N/A,N/A,N/A,48642000,N/A,N/A,N/A,-17104000,N/A,N/A,N/A,N/A,N/A,N/A,137.52,13052684,0,6.3429463173146985,9.630252100840337,1.0882136212918243,0.47845555342022444,1795005103.68,4.128362583579243,0,7.691736772094076,11.371890946149039,11.359591299613694,NaN,10.994543297746144,,N/A,1796791103.68,0.6075813131571696,Basic Materials,Coking Coal,345347,EQUITY,47492119.440000005,10.38%,0,0,0,0,1,-10,1,0,0,0,0,0,0,0,15,7
GSM,0,25608000,50812000,719820000,17735000,25325000,242523000,0.35000000000000003,0,25608000,221249552,0.34,N/A,165120000,769446000,1373000,26981000,221624716,570243000,N/A,85367000,307986000,800051000,104007000,416334000,501701000,440011000,800051000,298350000,194343000,492065000,93522000,-45251000,-48896000,1356000,-45251000,-625000,93522000,731000,-48896000,-28999000,N/A,-1320000,-2018000,-698000,186276000,N/A,121710000,477000,51577000,89848000,-299000,N/A,45505000,48683000,N/A,N/A,55324000,N/A,N/A,4121000,138995000,630451000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,630451000,N/A,3.43,187885093,0.18064295610088296,3.506548867626838,10.088235294117647,1.2845217948339749,0.5946769091550546,644445868.99,2.9612045343101907,0,3.3724100088619346,5.37790436933552,5.047827291554133,0,7.312708485380768,1.884,N/A,644445868.99,0.8375452845163923,Basic Materials,Other Industrial Metals & Mining,678740,EQUITY,2328078.2,9.91%,0,0,0,0,1,-10,1,0,0,0,1,0,0,0,14,7
MCVT,N/A,N/A,-128672,419847,125500,165675,291175,0.07,N/A,N/A,6385255,0.07,N/A,0,291175,N/A,N/A,6501823,419847,N/A,0,20340079,20340079,490994,19849085,19849085,N/A,20340079,490994,0,0,-2291734,N/A,N/A,N/A,N/A,-2291734,-2291734,-2291734,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.97,6385255,0,0,28.14285714285714,0.6337295824971276,0.024736354345804856,12578952.35,41.426329038644056,20340079,0,0,0.8346732355672818,NaN,43.10122778397871,1.062,N/A,-7761126.65,-26.65450897226754,Financial Services,Credit Services,41774,EQUITY,82294.78,3.55%,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,6
BXC,0,53116000,87570000,2881845000,17571000,53116000,70687000,6.22,0,53116000,8531000,6.19,N/A,2881845000,2952532000,0,53116000,8572000,401569000,36037000,0,1133988000,1577717000,233724000,646441000,646441000,N/A,1577717000,931276000,697552000,443729000,85178000,-39210000,-62089000,N/A,-39210000,-16121000,85178000,-16121000,-62089000,53116000,0,0,53116000,53116000,552242000,N/A,355909000,26881000,416848000,365532000,2678000,N/A,N/A,63522000,N/A,N/A,170202000,N/A,N/A,N/A,489139000,2463393000,N/A,N/A,N/A,N/A,N/A,225837000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.37,8294928,0.1656676371331454,1.798998283507173,12.822294022617124,1.018450926472795,1.4406202576878633,658368435.36,4.851825229758176,0,3.3666367288937113,8.216681800813994,8.216681800813994,0,24.857470256199868,2.178,N/A,658368435.36,0.22298435219669085,Industrials,Industrial Distribution,31871,EQUITY,2529601.27,7.80%,0,0,0,0,1,-10,1,0,0,0,1,1,0,0,10,4
BOWNU,0,825358,-127429,N/A,N/A,825358,825358,N/A,0,825358,N/A,N/A,N/A,N/A,N/A,0,825358,N/A,N/A,N/A,N/A,296999,74534486,284120,N/A,N/A,N/A,74534486,284120,0,74237487,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,825358,825358,271847,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,148474974,25152,N/A,74237487,N/A,N/A,N/A,N/A,N/A,N/A,74237487,74237487,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.78,N/A,0,Infinity,0,NaN,0,NaN,1.0453294382655216,25152,1.1073504954471678,0,0,NaN,0,,N/A,NaN,N/A,Financial Services,Shell Companies,20,EQUITY,75.6,N/A,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3
TITN,526000,30812000,90511000,2751967000,11554000,30812000,42368000,1.3499999999999999,403000,30286000,22603000,1.3499999999999999,N/A,2751967000,2794333000,0,30812000,22605000,393414000,N/A,0,1596699000,2109403000,1212027000,668200000,668200000,N/A,2109403000,1441203000,229176000,512704000,-6414000,-128760000,89277000,-664000,-128760000,-45897000,-6414000,-46561000,89277000,-80054000,N/A,0,39237000,39237000,43316000,N/A,1413088000,52074000,460630000,N/A,3638000,N/A,N/A,1167338000,N/A,N/A,44689000,N/A,N/A,N/A,485662000,2308671000,88542000,140634000,N/A,N/A,N/A,140295000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.19,23125692,0.17380247808689944,1.1026602770679084,12.733333333333336,0.5949276346602814,2.156843759353487,397530645.48,1.3173790682880826,0,1.4606976476282625,4.611194253217599,3.8094343215047837,0,27.270581570996978,1.288,N/A,538164645.48,0.19259145043915668,Industrials,Industrial Distribution,77812,EQUITY,1337588.28,7.85%,0,0,0,0,1,-10,0,0,0,0,1,1,0,0,10,3
BOWNR,0,825358,-127429,N/A,N/A,825358,825358,N/A,0,825358,N/A,N/A,N/A,N/A,N/A,0,825358,N/A,N/A,N/A,N/A,296999,74534486,284120,N/A,N/A,N/A,74534486,284120,0,74237487,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0,825358,825358,271847,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,148474974,25152,N/A,74237487,N/A,N/A,N/A,N/A,N/A,N/A,74237487,74237487,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2789,N/A,0,Infinity,0,NaN,0,NaN,1.0453294382655216,25152,1.1073504954471678,0,0,NaN,0,,N/A,NaN,N/A,N/A,N/A,27155,EQUITY,7573.5295,N/A,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3
AVT,0,317709000,651893000,22115810000,50584000,317709000,368293000,3.57,0,317709000,265209000,3.5300000000000002,80893000,22115810000,22484103000,0,317709000,268737000,1863679000,N/A,0,10072356000,11942931000,4206060000,4843903000,4843903000,564348000,11942931000,7099028000,2892968000,1870575000,1217711000,-128557000,-1169145000,N/A,-128557000,-79991000,1217711000,-79991000,-1169145000,-82104000,-173534000,0,-23148000,144175000,4819890000,N/A,5252466000,N/A,1306227000,1793269000,N/A,N/A,N/A,579727000,N/A,N/A,3626333000,N/A,N/A,N/A,2515572000,19968531000,N/A,N/A,N/A,N/A,N/A,N/A,1.28,N/A,N/A,N/A,N/A,11723000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.54,86504562,0.11188224853800038,1.4130383587017012,14.317280453257789,0.9025656714182757,1.4655594878757894,4371940563.48,2.394724754283106,0,2.6602263715665777,6.558946370313361,6.558946370313361,0,13.734716652230697,1.109,N/A,4371940563.48,0.1944458519639409,Technology,Electronics & Computer Distribution,328632,EQUITY,16609061.28,6.98%,0,0,0,0,1,-10,1,0,0,0,1,1,0,0,8,2
HGBL,0,1089000,1479000,9031000,407000,1089000,1496000,0.03,0,1089000,36576931,0.03,152000,8914000,10410000,0,1089000,37189029,8931000,3093000,0,36961000,88528000,20720000,66127000,66127000,1692000,88528000,22401000,1681000,51567000,5524000,3374000,-6910000,N/A,3374000,1988000,5524000,1988000,-6910000,0,N/A,0,1089000,1089000,32240000,32000000,4721000,3460000,14415000,5686000,419000,100000,1396000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.09,36343561,0,10.461095100864554,69.66666666666667,1.148669113826425,0.33875723985663947,75958042.49,1.7838320463320463,0,1.2301192842942346,1.6468310977361744,1.6468310977361744,NaN,27.205882352941174,1.216,N/A,75958042.49,7.296641929875119,Financial Services,Capital Markets,12542,EQUITY,26212.78,1.44%,0,0,1,0,0,0,1,0,0,0,0,1,0,1,-3,1
ARW,0,392074000,768557000,2523851000,95812000,393507000,489319000,7.36,0,392074000,53282000,7.29,N/A,27434005000,27923324000,1433000,393507000,53797000,2523851000,305911000,70377000,18401413000,21757707000,12636162000,5761151000,5831528000,469260000,21757707000,15926179000,3290017000,3356294000,1130413000,-94442000,-956827000,N/A,-94442000,79144000,1130413000,79144000,-956827000,-213988000,-211230000,-1325000,179519000,180844000,13691707000,N/A,4709706000,96706000,2790328000,2217940000,-99866000,1368000,487951000,1588692000,N/A,N/A,11047470000,N/A,N/A,N/A,3292408000,24630916000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,195678000,N/A,-269834000,-269834000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108.07,52172303,0.11790888505967269,1.4092412493584217,14.824417009602193,0.9668582205572879,2.7310473344207558,5638260785.21,1.4562501652004778,0,1.8085867228564114,6.747922671382184,6.747922671382184,0,19.580682540428636,1.261,N/A,5638260785.21,0.20191939846452378,Technology,Electronics & Computer Distribution,170013,EQUITY,18373304.91,6.75%,0,0,0,0,1,-10,0,0,0,0,1,1,0,0,8,1
STRS,0,1602000,-3426000,51583000,-288000,-2189000,-2552000,0.1999999999999999,0,1602000,8062000,0.1899999999999999,N/A,50709000,48157000,-3791000,-2189000,8189000,13238000,N/A,103768000,523180000,523180000,223045000,196367000,300135000,N/A,523180000,223045000,0,0,-14356000,-25076000,23378000,N/A,-25076000,-16054000,-14356000,-16054000,23378000,0,N/A,0,-2189000,-2189000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75000,-2552000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9812000,38345000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.48,8086201,0.2037502336108977,-4.545548933696035,97.2631578947369,0.4978859329301814,0.7431489163209889,149432994.48,2.3456253222443904,523180000,-0.4184028441454184,-0.7293384643577057,-0.7293384643577057,0,11.285266457680251,1.31,N/A,-373747005.52,-7.761010974936146,Real Estate,Real Estate - Diversified,16758,EQUITY,309687.84,1.03%,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-3,1
MOV,0,23807000,26357000,625109000,8456000,24764000,33220000,1.07,0,23807000,44560000,1.04,9326000,625109000,658329000,957000,24764000,45224000,330694000,N/A,2841000,520187000,765876000,121826000,503583000,506424000,20480000,765876000,259452000,137626000,245689000,28783000,-14615000,-36043000,N/A,-14615000,-21875000,28783000,-21875000,-36043000,8596000,N/A,1013000,33360000,32347000,351258000,N/A,168929000,N/A,225209000,330694000,N/A,N/A,N/A,79856000,N/A,N/A,29429000,N/A,N/A,508000,357051000,301278000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12541000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.31,22142856,0.5423595193284817,3.7616450133595816,18.56730769230769,0.8443094114023031,0.5123216909151225,427578549.35999995,4.269917751547289,0,3.2334215982743943,4.889973618943809,4.889973618943809,0,25.454545454545453,0.99,N/A,427578549.35999995,0.6494906792196606,Consumer Cyclical,Luxury Goods,61821,EQUITY,1193763.51,5.39%,1,1,0,0,1,-10,1,0,0,0,1,1,0,0,5,1
HDSN,N/A,N/A,N/A,-167729000,N/A,38297000,30504000,N/A,N/A,N/A,N/A,N/A,N/A,-167729000,-137225000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.76,45510925,0,0,0,Infinity,0,262142928,0,0,0,0,0,NaN,0,1.123,N/A,262142928,N/A,Basic Materials,Specialty Chemicals,248597,EQUITY,1431918.72,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEUS,0,22980000,47859000,1893813000,8325000,22980000,31305000,1.97,0,22980000,11677000,1.97,N/A,1910367000,1941672000,0,22980000,11677000,373192000,N/A,0,580591000,1044496000,132638000,573924000,573924000,203836000,1044496000,470572000,337934000,463905000,33679000,-109426000,74435000,N/A,-109426000,-1312000,33679000,-1312000,74435000,23129000,N/A,0,23129000,23129000,189965000,N/A,390626000,118111000,141958000,N/A,-511000,N/A,N/A,27711000,N/A,N/A,80743000,N/A,N/A,N/A,N/A,N/A,65478000,272456000,N/A,N/A,N/A,N/A,N/A,8836000,24184000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16461000,33.22,11135890,0,1.1835160624451504,16.86294416243655,0.6445701274036283,0.8199204075800978,369934265.8,4.377259910432907,0,2.200104165071001,4.004014468814686,2.7150925116377986,NaN,26.59319597508385,1.481,N/A,642390265.8,0.3308438633301608,Basic Materials,Steel,42833,EQUITY,1422912.26,5.93%,0,0,0,0,1,-10,1,0,0,0,0,1,0,0,6,-1
PRAA,0,43363000,291125000,973181000,9600000,59929000,69529000,1.11,0,43363000,39375000,1.1,10858000,973181000,1042710000,16566000,59929000,39517000,751585000,740727000,62910000,4936070000,4936070000,3654278000,1218882000,1281792000,31835000,4936070000,3654278000,0,0,-116787000,-239104000,374122000,5783000,-239104000,18231000,-116787000,24014000,374122000,44014000,48669000,11910000,103943000,92033000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.93,39509560,0,5.7474273767394575,19.027272727272724,0.6451398439060315,2.850913408727781,826935090.8,1.350764774874818,4936070000,1.2141035277052392,4.675407554423806,4.675407554423806,NaN,13.807188367443802,1.639,N/A,-4109134909.2,-3.9408223851310527,Financial Services,Credit Services,126631,EQUITY,2650386.83,5.26%,0,0,0,0,1,-10,0,0,0,0,0,1,0,0,5,-3
TMHC,0,251126000,N/A,0,81219000,251472000,2120842000,2.41,0,251126000,104132000,2.37,N/A,0,2120842000,346000,251472000,106089000,N/A,N/A,0,9300436000,9300436000,3576974000,5723462000,5723462000,322483000,9300436000,3576974000,0,0,135889000,-25010000,-102359000,N/A,-25010000,8520000,135889000,8520000,-102359000,0,N/A,0,251472000,251472000,4907898000,N/A,4392538000,N/A,N/A,199341000,N/A,707000,2120135000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,531069000,1589773000,N/A,2143223000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,256000,N/A,N/A,N/A,N/A,N/A,N/A,61.64,101737678,0.25040479205900296,11.857177479510495,26.0084388185654,1.0956848271063913,0.6249668469887631,6271110471.92,2.60008487621101,0,2.7038732377707886,4.393704369837696,3.196670516233966,0,3.829563918481433,2.06,N/A,8414333471.92,3.967449471445775,Consumer Cyclical,Residential Construction,311471,EQUITY,19199072.44,3.84%,1,0,1,0,0,-10,1,0,0,0,1,0,0,0,2,-4
KE,6000,3154000,9115000,371372000,-270000,3154000,2884000,0.13,3000,3151000,24979000,0.12,N/A,371372000,374256000,0,3154000,25235000,14485000,1058000,0,782694000,1149056000,343727000,547758000,547758000,275674000,1149056000,601298000,257571000,366362000,45474000,5226000,-52954000,N/A,5226000,-2254000,45474000,-2254000,-52954000,6038000,6038000,0,9192000,9192000,183386000,N/A,335272000,N/A,90688000,13427000,N/A,N/A,N/A,127023000,N/A,N/A,216704000,N/A,N/A,4792000,23600000,350656000,N/A,N/A,N/A,N/A,3000,264036000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.02,24554663,0.06305844128083452,0.8427386601684409,150.16666666666666,0.8077929071962435,1.097743894201454,442475027.26,2.277080357376639,0,0.27448618692213433,0.5758017226585463,0.5758017226585463,0,-9.361997226074896,1.209,N/A,442475027.26,1.1822790476572185,Industrials,Electrical Equipment & Parts,63558,EQUITY,1145315.16,0.67%,0,0,0,0,0,-10,1,0,0,0,1,0,0,0,-4,-12
BFH,0,2000000,40000000,943000000,37000000,3000000,40000000,0.05,0,2000000,49700000,0.05,22000000,943000000,983000000,0,2000000,51000000,943000000,921000000,0,21736000000,21736000000,18624000000,3112000000,3112000000,148000000,21736000000,18624000000,0,0,456000000,-569000000,-488000000,N/A,-569000000,-601000000,456000000,-601000000,-488000000,6000000,6000000,0,8000000,8000000,N/A,N/A,N/A,N/A,N/A,N/A,-19000000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87000000,N/A,N/A,N/A,4584000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,668000000,1037000000,369000000,N/A,574000000,-1000000,1277000000,N/A,N/A,N/A,54,49092356,0,0.20345879959308238,1080,0.8518596478149101,5.984575835475578,2650987224,1.1670962199312716,21736000000,0.009201324990798674,0.06426735218508997,0.03898128898128898,NaN,92.5,1.984,N/A,-14501012776,-14.751793261444558,Financial Services,Credit Services,381489,EQUITY,20600406,0.09%,0,0,0,0,0,-10,0,0,0,0,0,1,0,0,-5,-14
